# location,population,highest_infection_count,infected_population_percentage
Montenegro,628051,159788,25.4419
Andorra,77354,19440,25.1312
Seychelles,98910,23806,24.0683
Slovakia,5460726,1286336,23.5561
Georgia,3979773,889286,22.3451
Czechia,10724553,2334289,21.7658
Slovenia,2078723,439952,21.1645
San Marino,34010,6464,19.0062
Serbia,6871547,1274047,18.5409
Lithuania,2689862,491122,18.2583
Estonia,1325188,228279,17.2262
Maldives,543620,93119,17.1294
Netherlands,17173094,2922378,17.0172
Belgium,11632334,1929772,16.5897
Croatia,4081657,654202,16.0279
United Kingdom,68207114,10881189,15.9532
Bahrain,1748295,278065,15.9049
Cyprus,896005,140851,15.7199
United States,332915074,49921405,14.9952
Luxembourg,634814,93429,14.7175
Israel,9291000,1350215,14.5325
Latvia,1866934,261944,14.0307
Liechtenstein,38254,5327,13.9253
Austria,9043072,1228034,13.5798
Switzerland,8715494,1111923,12.758
Ireland,4982904,623623,12.5153
France,67564251,8362843,12.3776
Hungary,9634162,1182922,12.2784
Sweden,10160159,1229217,12.0984
Argentina,45605823,5358455,11.7495
Portugal,10167923,1194288,11.7456
Mongolia,3329282,385447,11.5775
Uruguay,3485152,402509,11.5493
Armenia,2968128,342538,11.5405
Spain,46745211,5290273,11.3173
Costa Rica,5139053,567995,11.0525
Panama,4381583,480781,10.9728
Turkey,85042736,9042149,10.6325
North Macedonia,2082661,219408,10.535
Brazil,213993441,22177059,10.3634
Bulgaria,6896655,714688,10.3628
Monaco,39520,4093,10.3568
Lebanon,6769151,690054,10.1941
Poland,37797000,3828248,10.1284
Colombia,51265841,5093534,9.9355
Jordan,10269022,1010033,9.8357
Greece,10370747,1002877,9.6702
Denmark,5813302,560592,9.6433
Kuwait,4328553,413711,9.5577
Romania,19127772,1793149,9.3746
Barbados,287708,26740,9.2941
Chile,19212362,1778370,9.2564
Moldova,4024025,369659,9.1863
Kosovo,1782115,161200,9.0454
Palestine,5222756,463573,8.876
Italy,60367471,5225517,8.6562
