date,total_cases,total_deaths,death_probability
1/1/2020,0,0,0
1/2/2020,0,0,0
1/3/2020,0,0,0
1/4/2020,0,0,0
1/5/2020,0,0,0
1/6/2020,0,0,0
1/7/2020,0,0,0
1/8/2020,0,0,0
1/9/2020,0,0,0
1/10/2020,0,0,0
1/11/2020,0,0,0
1/12/2020,0,0,0
1/13/2020,0,0,0
1/14/2020,0,0,0
1/15/2020,0,0,0
1/16/2020,0,0,0
1/17/2020,0,0,0
1/18/2020,0,0,0
1/19/2020,0,0,0
1/20/2020,0,0,0
1/21/2020,0,0,0
1/22/2020,0,0,0
1/23/2020,98,1,1.0204
1/24/2020,286,8,2.7972
1/25/2020,493,16,3.2454
1/26/2020,684,14,2.0468
1/27/2020,809,26,3.2138
1/28/2020,2651,49,1.8484
1/29/2020,589,2,0.3396
1/30/2020,2068,38,1.8375
1/31/2020,1692,42,2.4823
2/1/2020,2111,46,2.1791
2/2/2020,4749,103,2.1689
2/3/2020,3100,64,2.0645
2/4/2020,4011,66,1.6455
2/5/2020,3745,72,1.9226
2/6/2020,3162,70,2.2138
2/7/2020,3533,85,2.4059
2/8/2020,2731,87,3.1856
2/9/2020,3028,100,3.3025
2/10/2020,2537,107,4.2176
2/11/2020,2042,100,4.8972
2/12/2020,378,5,1.3228
2/13/2020,15152,253,1.6697
2/14/2020,6485,152,2.3439
2/15/2020,2076,143,6.8882
2/16/2020,2113,104,4.9219
2/17/2020,1936,98,5.062
2/18/2020,1794,140,7.8038
2/19/2020,421,115,27.3159
2/20/2020,547,123,22.4863
2/21/2020,629,4,0.6359
2/22/2020,1761,207,11.7547
2/23/2020,323,10,3.096
2/24/2020,568,160,28.169
2/25/2020,854,80,9.3677
2/26/2020,963,60,6.2305
2/27/2020,1359,43,3.1641
2/28/2020,1388,57,4.1066
2/29/2020,1894,70,3.6959
3/1/2020,2378,54,2.2708
3/2/2020,1979,89,4.4972
3/3/2020,2600,74,2.8462
3/4/2020,2302,95,4.1268
3/5/2020,2818,93,3.3002
3/6/2020,3916,113,2.8856
3/7/2020,4097,104,2.5384
3/8/2020,3938,240,6.0945
3/9/2020,4181,190,4.5444
3/10/2020,4823,276,5.7226
3/11/2020,7659,344,4.4914
3/12/2020,5799,309,5.3285
3/13/2020,14351,492,3.4283
3/14/2020,11098,421,3.7935
3/15/2020,11279,645,5.7186
3/16/2020,14793,692,4.6779
3/17/2020,16005,815,5.0922
3/18/2020,19541,917,4.6927
3/19/2020,27098,1116,4.1184
3/20/2020,30881,1496,4.8444
3/21/2020,32115,1722,5.362
3/22/2020,35141,1685,4.795
3/23/2020,42667,1958,4.589
3/24/2020,41086,2308,5.6175
3/25/2020,51089,2824,5.5276
3/26/2020,62862,3040,4.836
3/27/2020,64910,3485,5.369
3/28/2020,69663,3836,5.5065
3/29/2020,56900,3477,6.1107
3/30/2020,65279,4081,6.2516
3/31/2020,76819,4732,6.1599
4/1/2020,82907,6011,7.2503
4/2/2020,82911,5892,7.1064
4/3/2020,84315,6178,7.3273
4/4/2020,58933,5980,10.1471
4/5/2020,70257,5243,7.4626
4/6/2020,73874,5935,8.0339
4/7/2020,69401,8311,11.9753
4/8/2020,83325,6829,8.1956
4/9/2020,87356,7868,9.0068
4/10/2020,85390,7417,8.686
4/11/2020,74477,6286,8.4402
4/12/2020,119535,5940,4.9693
4/13/2020,70986,6019,8.4791
4/14/2020,83848,7104,8.4725
4/15/2020,78160,8544,10.9314
4/16/2020,95386,7419,7.7779
4/17/2020,88195,8500,9.6377
4/18/2020,77249,6202,8.0286
4/19/2020,76826,5351,6.9651
4/20/2020,75439,6048,8.0171
4/21/2020,75956,7402,9.7451
4/22/2020,81839,7027,8.5864
4/23/2020,83513,6998,8.3795
4/24/2020,83928,6914,8.238
4/25/2020,82967,5884,7.092
4/26/2020,71441,4253,5.9532
4/27/2020,70204,4930,7.0224
4/28/2020,75806,6835,9.0164
4/29/2020,76987,6947,9.0236
4/30/2020,83370,6054,7.2616
5/1/2020,88597,5471,6.1752
5/2/2020,79660,5844,7.3362
5/3/2020,74902,3847,5.136
5/4/2020,77188,4552,5.8973
5/5/2020,80103,6127,7.6489
5/6/2020,90402,6885,7.616
5/7/2020,88890,5697,6.409
5/8/2020,90581,5928,6.5444
5/9/2020,84155,4586,5.4495
5/10/2020,75696,4041,5.3385
5/11/2020,76353,3916,5.1288
5/12/2020,84439,5880,6.9636
5/13/2020,84954,5486,6.4576
5/14/2020,95878,5582,5.822
5/15/2020,96151,5636,5.8616
5/16/2020,94278,4550,4.8262
5/17/2020,78427,3574,4.5571
5/18/2020,88714,4149,4.6768
5/19/2020,96797,5127,5.2967
5/20/2020,102121,5193,5.0851
5/21/2020,106679,5085,4.7666
5/22/2020,106338,5657,5.3198
5/23/2020,104449,4296,4.113
5/24/2020,94822,3484,3.6743
5/25/2020,86588,1614,1.864
5/26/2020,92807,4641,5.0007
5/27/2020,103536,5418,5.233
5/28/2020,118517,5011,4.2281
5/29/2020,121115,5147,4.2497
5/30/2020,136861,4378,3.1989
5/31/2020,106731,3155,2.956
6/1/2020,95705,3515,3.6727
6/2/2020,121708,5202,4.2742
6/3/2020,114183,5844,5.1181
6/4/2020,130842,5434,4.1531
6/5/2020,131070,5053,3.8552
6/6/2020,133888,4214,3.1474
6/7/2020,112806,3183,2.8217
6/8/2020,101222,4167,4.1167
6/9/2020,124552,5200,4.175
6/10/2020,135320,5481,4.0504
6/11/2020,137286,5055,3.6821
6/12/2020,129213,4807,3.7202
6/13/2020,135008,4442,3.2902
6/14/2020,132736,3646,2.7468
6/15/2020,118348,3838,3.243
6/16/2020,141645,7096,5.0097
6/17/2020,144757,5574,3.8506
6/18/2020,140681,5321,3.7823
6/19/2020,180188,6382,3.5419
6/20/2020,157653,4508,2.8594
6/21/2020,128856,4619,3.5846
6/22/2020,138201,3718,2.6903
6/23/2020,167033,5558,3.3275
6/24/2020,172911,5559,3.2149
6/25/2020,178439,5053,2.8318
6/26/2020,191732,5076,2.6474
6/27/2020,178757,4772,2.6695
6/28/2020,165026,3531,2.1397
6/29/2020,153532,3998,2.604
6/30/2020,176339,5202,2.95
7/1/2020,217285,5324,2.4502
7/2/2020,209724,5469,2.6077
